1,34.3
2,38.28
3,42.2
4,46.38
5,50.12
6,51.15
7,52.77
8,55.28
9,57.3
10,59.47
11,62.42
12,65.37
13,68.32
14,71.27
15,74.22
16,77.17
17,80.12
18,83.07
19,86.02
20,88.97
21,91.48
22,93.99
23,96.5
24,99.01
25,101.52
26,104.03
27,106.54
28,109.05
29,111.56
30,114.07
31,116.58
32,119.09
33,121.6
34,124.11
35,126.62
36,129.13
37,131.64
38,134.15
39,136.66
40,139.17
41,141.68
42,144.19
43,146.7
44,149.21
45,151.72
46,154.23
47,156.74
48,159.25
49,161.76
50,164.27
