LB,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,Zone G,Zone H,Zone I,Zone J,Zone K,Zone L,Zone M,Zone N
55,171.92,192.96,313.28,351.16,618.66,305.79,378.8,295.55,414.69,642.63,252.44,563.5,409.6,686.01
56,173.45,194.78,317.63,356.48,627.61,310.26,384.68,300.13,420.86,653.64,257.06,570.51,415.76,695.91
57,174.98,196.6,321.98,361.8,636.56,314.73,390.56,304.71,427.03,664.65,261.68,577.52,421.92,705.81
58,176.51,198.42,326.33,367.12,645.51,319.2,396.44,309.29,433.2,675.66,266.3,584.53,428.08,715.71
59,178.04,200.24,330.68,372.44,654.46,323.67,402.32,313.87,439.37,686.67,270.92,591.54,434.24,725.61
60,179.57,202.06,335.03,377.76,663.41,328.14,408.2,318.45,445.54,697.68,275.54,598.55,440.4,735.51
61,181.1,203.88,339.38,383.08,672.36,332.61,414.08,323.03,451.71,708.69,280.16,605.56,446.56,745.41
62,182.63,205.7,343.73,388.4,681.31,337.08,419.96,327.61,457.88,719.7,284.78,612.57,452.72,755.31
63,184.16,207.52,348.08,393.72,690.26,341.55,425.84,332.19,464.05,730.71,289.4,619.58,458.88,765.21
64,185.69,209.34,352.43,399.04,699.21,346.02,431.72,336.77,470.22,741.72,294.02,626.59,465.04,775.11
65,187.22,211.16,356.78,404.36,708.16,350.49,437.6,341.35,476.39,752.73,298.64,633.6,471.2,785.01
66,188.75,212.98,361.13,409.68,717.11,354.96,443.48,345.93,482.56,763.74,303.26,640.61,477.36,794.91
67,190.28,214.8,365.48,415,726.06,359.43,449.36,350.51,488.73,774.75,307.88,647.62,483.52,804.81
68,191.81,216.62,369.83,420.32,735.01,363.9,455.24,355.09,494.9,785.76,312.5,654.63,489.68,814.71
69,193.34,218.44,374.18,425.64,743.96,368.37,461.12,359.67,501.07,796.77,317.12,661.64,495.84,824.61
70,194.87,220.26,378.53,430.96,752.91,372.84,467,364.25,507.24,807.78,321.74,668.65,502,834.51
71,196.43,221.98,383.01,436.27,762.44,377.15,471.78,368.16,513.04,816.4,326.39,674.52,508.28,844
72,197.99,223.7,387.49,441.58,771.97,381.46,476.56,372.07,518.84,825.02,331.04,680.39,514.56,853.49
73,199.55,225.42,391.97,446.89,781.5,385.77,481.34,375.98,524.64,833.64,335.69,686.26,520.84,862.98
74,201.11,227.14,396.45,452.2,791.03,390.08,486.12,379.89,530.44,842.26,340.34,692.13,527.12,872.47
75,202.67,228.86,400.93,457.51,800.56,394.39,490.9,383.8,536.24,850.88,344.99,698,533.4,881.96
76,204.23,230.58,405.41,462.82,810.09,398.7,495.68,387.71,542.04,859.5,349.64,703.87,539.68,891.45
77,205.79,232.3,409.89,468.13,819.62,403.01,500.46,391.62,547.84,868.12,354.29,709.74,545.96,900.94
78,207.35,234.02,414.37,473.44,829.15,407.32,505.24,395.53,553.64,876.74,358.94,715.61,552.24,910.43
79,208.91,235.74,418.85,478.75,838.68,411.63,510.02,399.44,559.44,885.36,363.59,721.48,558.52,919.92
80,210.47,237.46,423.33,484.06,848.21,415.94,514.8,403.35,565.24,893.98,368.24,727.35,564.8,929.41
81,212.03,239.18,427.81,489.37,857.74,420.25,519.58,407.26,571.04,902.6,372.89,733.22,571.08,938.9
82,213.59,240.9,432.29,494.68,867.27,424.56,524.36,411.17,576.84,911.22,377.54,739.09,577.36,948.39
83,215.15,242.62,436.77,499.99,876.8,428.87,529.14,415.08,582.64,919.84,382.19,744.96,583.64,957.88
84,216.71,244.34,441.25,505.3,886.33,433.18,533.92,418.99,588.44,928.46,386.84,750.83,589.92,967.37
85,218.27,246.06,445.73,510.61,895.86,437.49,538.7,422.9,594.24,937.08,391.49,756.7,596.2,976.86
86,219.83,247.78,450.21,515.92,905.39,441.8,543.48,426.81,600.04,945.7,396.14,762.57,602.48,986.35
87,221.39,249.5,454.69,521.23,914.92,446.11,548.26,430.72,605.84,954.32,400.79,768.44,608.76,995.84
88,222.95,251.22,459.17,526.54,924.45,450.42,553.04,434.63,611.64,962.94,405.44,774.31,615.04,1005.33
89,224.51,252.94,463.65,531.85,933.98,454.73,557.82,438.54,617.44,971.56,410.09,780.18,621.32,1014.82
90,226.07,254.66,468.13,537.16,943.51,459.04,562.6,442.45,623.24,980.18,414.74,786.05,627.6,1024.31
91,227.63,256.38,472.61,542.47,953.04,463.35,567.38,446.36,629.04,988.8,419.39,791.92,633.88,1033.8
92,229.19,258.1,477.09,547.78,962.57,467.66,572.16,450.27,634.84,997.42,424.04,797.79,640.16,1043.29
93,230.75,259.82,481.57,553.09,972.1,471.97,576.94,454.18,640.64,1006.04,428.69,803.66,646.44,1052.78
94,232.31,261.54,486.05,558.4,981.63,476.28,581.72,458.09,646.44,1014.66,433.34,809.53,652.72,1062.27
95,233.87,263.26,490.53,563.71,991.16,480.59,586.5,462,652.24,1023.28,437.99,815.4,659,1071.76
96,235.43,264.98,495.01,569.02,1000.69,484.9,591.28,465.91,658.04,1031.9,442.64,821.27,665.28,1081.25
97,236.99,266.7,499.49,574.33,1010.22,489.21,596.06,469.82,663.84,1040.52,447.29,827.14,671.56,1090.74
98,238.55,268.42,503.97,579.64,1019.75,493.52,600.84,473.73,669.64,1049.14,451.94,833.01,677.84,1100.23
99,240.11,270.14,508.45,584.95,1029.28,497.83,605.62,477.64,675.44,1057.76,456.59,838.88,684.12,1109.72
100,241.67,271.86,512.93,590.26,1038.81,502.14,610.4,481.55,681.24,1066.38,461.24,844.75,690.4,1119.21
101,244.03,274.32,517.73,596.17,1049.06,506.6,616.62,486.29,688.05,1075.97,465.89,852.8,697.46,1129.72
102,246.39,276.78,522.53,602.08,1059.31,511.06,622.84,491.03,694.86,1085.56,470.54,860.85,704.52,1140.23
103,248.75,279.24,527.33,607.99,1069.56,515.52,629.06,495.77,701.67,1095.15,475.19,868.9,711.58,1150.74
104,251.11,281.7,532.13,613.9,1079.81,519.98,635.28,500.51,708.48,1104.74,479.84,876.95,718.64,1161.25
105,253.47,284.16,536.93,619.81,1090.06,524.44,641.5,505.25,715.29,1114.33,484.49,885,725.7,1171.76
106,255.83,286.62,541.73,625.72,1100.31,528.9,647.72,509.99,722.1,1123.92,489.14,893.05,732.76,1182.27
107,258.19,289.08,546.53,631.63,1110.56,533.36,653.94,514.73,728.91,1133.51,493.79,901.1,739.82,1192.78
108,260.55,291.54,551.33,637.54,1120.81,537.82,660.16,519.47,735.72,1143.1,498.44,909.15,746.88,1203.29
109,262.91,294,556.13,643.45,1131.06,542.28,666.38,524.21,742.53,1152.69,503.09,917.2,753.94,1213.8
110,265.27,296.46,560.93,649.36,1141.31,546.74,672.6,528.95,749.34,1162.28,507.74,925.25,761,1224.31
111,267.63,298.92,565.73,655.27,1151.56,551.2,678.82,533.69,756.15,1171.87,512.39,933.3,768.06,1234.82
112,269.99,301.38,570.53,661.18,1161.81,555.66,685.04,538.43,762.96,1181.46,517.04,941.35,775.12,1245.33
113,272.35,303.84,575.33,667.09,1172.06,560.12,691.26,543.17,769.77,1191.05,521.69,949.4,782.18,1255.84
114,274.71,306.3,580.13,673,1182.31,564.58,697.48,547.91,776.58,1200.64,526.34,957.45,789.24,1266.35
115,277.07,308.76,584.93,678.91,1192.56,569.04,703.7,552.65,783.39,1210.23,530.99,965.5,796.3,1276.86
116,279.43,311.22,589.73,684.82,1202.81,573.5,709.92,557.39,790.2,1219.82,535.64,973.55,803.36,1287.37
117,281.79,313.68,594.53,690.73,1213.06,577.96,716.14,562.13,797.01,1229.41,540.29,981.6,810.42,1297.88
118,284.15,316.14,599.33,696.64,1223.31,582.42,722.36,566.87,803.82,1239,544.94,989.65,817.48,1308.39
119,286.51,318.6,604.13,702.55,1233.56,586.88,728.58,571.61,810.63,1248.59,549.59,997.7,824.54,1318.9
120,288.87,321.06,608.93,708.46,1243.81,591.34,734.8,576.35,817.44,1258.18,554.24,1005.75,831.6,1329.41
121,291.23,323.52,613.73,714.37,1254.06,595.8,741.02,581.09,824.25,1267.77,558.89,1013.8,838.66,1339.92
122,293.59,325.98,618.53,720.28,1264.31,600.26,747.24,585.83,831.06,1277.36,563.54,1021.85,845.72,1350.43
123,295.95,328.44,623.33,726.19,1274.56,604.72,753.46,590.57,837.87,1286.95,568.19,1029.9,852.78,1360.94
124,298.31,330.9,628.13,732.1,1284.81,609.18,759.68,595.31,844.68,1296.54,572.84,1037.95,859.84,1371.45
125,300.67,333.36,632.93,738.01,1295.06,613.64,765.9,600.05,851.49,1306.13,577.49,1046,866.9,1381.96
126,303.03,335.82,637.73,743.92,1305.31,618.1,772.12,604.79,858.3,1315.72,582.14,1054.05,873.96,1392.47
127,305.39,338.28,642.53,749.83,1315.56,622.56,778.34,609.53,865.11,1325.31,586.79,1062.1,881.02,1402.98
128,307.75,340.74,647.33,755.74,1325.81,627.02,784.56,614.27,871.92,1334.9,591.44,1070.15,888.08,1413.49
129,310.11,343.2,652.13,761.65,1336.06,631.48,790.78,619.01,878.73,1344.49,596.09,1078.2,895.14,1424
130,312.47,345.66,656.93,767.56,1346.31,635.94,797,623.75,885.54,1354.08,600.74,1086.25,902.2,1434.51
131,314.83,348.12,661.73,773.47,1356.56,640.4,803.22,628.49,892.35,1363.67,605.39,1094.3,909.26,1445.02
132,317.19,350.58,666.53,779.38,1366.81,644.86,809.44,633.23,899.16,1373.26,610.04,1102.35,916.32,1455.53
133,319.55,353.04,671.33,785.29,1377.06,649.32,815.66,637.97,905.97,1382.85,614.69,1110.4,923.38,1466.04
134,321.91,355.5,676.13,791.2,1387.31,653.78,821.88,642.71,912.78,1392.44,619.34,1118.45,930.44,1476.55
135,324.27,357.96,680.93,797.11,1397.56,658.24,828.1,647.45,919.59,1402.03,623.99,1126.5,937.5,1487.06
136,326.63,360.42,685.73,803.02,1407.81,662.7,834.32,652.19,926.4,1411.62,628.64,1134.55,944.56,1497.57
137,328.99,362.88,690.53,808.93,1418.06,667.16,840.54,656.93,933.21,1421.21,633.29,1142.6,951.62,1508.08
138,331.35,365.34,695.33,814.84,1428.31,671.62,846.76,661.67,940.02,1430.8,637.94,1150.65,958.68,1518.59
139,333.71,367.8,700.13,820.75,1438.56,676.08,852.98,666.41,946.83,1440.39,642.59,1158.7,965.74,1529.1
140,336.07,370.26,704.93,826.66,1448.81,680.54,859.2,671.15,953.64,1449.98,647.24,1166.75,972.8,1539.61
141,338.43,372.72,709.73,832.57,1459.06,685,865.42,675.89,960.45,1459.57,651.89,1174.8,979.86,1550.12
142,340.79,375.18,714.53,838.48,1469.31,689.46,871.64,680.63,967.26,1469.16,656.54,1182.85,986.92,1560.63
143,343.15,377.64,719.33,844.39,1479.56,693.92,877.86,685.37,974.07,1478.75,661.19,1190.9,993.98,1571.14
144,345.51,380.1,724.13,850.3,1489.81,698.38,884.08,690.11,980.88,1488.34,665.84,1198.95,1001.04,1581.65
145,347.87,382.56,728.93,856.21,1500.06,702.84,890.3,694.85,987.69,1497.93,670.49,1207,1008.1,1592.16
146,350.23,385.02,733.73,862.12,1510.31,707.3,896.52,699.59,994.5,1507.52,675.14,1215.05,1015.16,1602.67
147,352.59,387.48,738.53,868.03,1520.56,711.76,902.74,704.33,1001.31,1517.11,679.79,1223.1,1022.22,1613.18
148,354.95,389.94,743.33,873.94,1530.81,716.22,908.96,709.07,1008.12,1526.7,684.44,1231.15,1029.28,1623.69
149,357.31,392.4,748.13,879.85,1541.06,720.68,915.18,713.81,1014.93,1536.29,689.09,1239.2,1036.34,1634.2
150,359.67,394.86,752.93,885.76,1551.31,725.14,921.4,718.55,1021.74,1545.88,693.74,1247.25,1043.4,1644.71
330,2.46,3.21,5.13,6.05,10.81,4.99,6.28,4.95,7.03,10.72,4.72,8.46,7.19,11.57
660,2.47,3.24,5.15,6.11,10.91,5.01,6.37,4.98,7.1,10.82,4.76,8.55,7.32,11.79
2199,2.51,3.28,5.22,6.2,11.06,5.1,6.43,5.09,7.2,11.02,4.84,8.65,7.49,11.95
99999,2.88,3.76,6,7.13,12.8,5.91,7.43,5.89,8.34,12.68,5.65,9.99,8.54,13.69
